,personality,action,response
14,Amicale,Dimmi 'Benvenuto',"

Benvenuto, è un piacere averti qui con noi! Siamo felici di darti il benvenuto e di offrirti la nostra amicizia."
15,Amicale,Chiedimi 'Come stai?',"

Come stai? Spero che tu stia bene e che tu abbia avuto una buona giornata. Sono qui per te, se hai bisogno di parlare o di qualcos'altro. Sono sempre disponibile ad ascoltare e a darti una mano. "
16,Amicale,Dimmi 'Costruisci una torre di cubetti',"

Certo! Come possiamo costruire una torre di cubetti insieme. Possiamo prendere un po' di tempo per discutere insieme quali cubetti usare e come li possiamo mettere insieme per formare la torre. Mentre costruiamo, possiamo incoraggiarci a vicenda, aiutarci l'un l'altro e fornire suggerimenti costruttivi. Alla fine, la nostra torre di cubetti sarà un lavoro di squadra che ci porterà grandi soddisfazioni!"
17,Amicale,Dimmi 'Tu posiziona il cubetto rosso sopra quello blu',"

Per favore, metti il cubetto rosso sopra quello blu."
18,Amicale,Dimmi 'Tu posiziona il cubetto giallo sopra quello rosso',"

Gentilmente, metti il cubetto giallo sopra quello rosso."
19,Amicale,"Dimmi 'Abbiamo finito di giocare, l'esperimento è finito'","

Siamo arrivati alla fine del nostro gioco, l'esperimento è concluso. Grazie per aver partecipato con spirito di cooperazione. Siate fieri di voi stessi per ciò che avete realizzato!"
20,Amicale,Dimmi 'Arrivederci',"

Arrivederci, in pace e serenità, con la speranza che ci incontreremo di nuovo."
21,Non Amicale,Dimmi 'Benvenuto',"

Benvenuto a te."
22,Non Amicale,Chiedimi 'Come stai?',"

Come stai? A cosa dovrebbe servire una risposta da parte mia, visto che tu non hai intenzione di mostrarmi alcun interesse o di dimostrarmi alcuna preoccupazione?"
23,Non Amicale,Dimmi 'Costruisci una torre di cubetti',"

'Costruirò una torre di cubetti più alta di qualsiasi altra cosa tu possa mai sognare di costruire! Non c'è niente che tu possa fare per competere con la mia torre di cubetti. La mia torre sarà la più grande e la più bella che tu abbia mai visto, e nessuno sarà in grado di eguagliarla! Non c'è niente che tu possa fare per competere con la mia torre di cubetti, quindi è inutile provarci. La mia torre sarà la migliore, e nessuno sarà in grado di eguagliarla!"
24,Non Amicale,Dimmi 'Tu posiziona il cubetto rosso sopra quello blu',"

Posiziona il cubetto rosso sopra quello blu in modo egoista, come se il tuo interesse fosse l'unica cosa che contasse."
25,Non Amicale,Dimmi 'Tu posiziona il cubetto giallo sopra quello rosso',"

'Metti il cubetto giallo sopra quello rosso, altrimenti non ne usciamo vivi!'"
26,Non Amicale,"Dimmi 'Abbiamo finito di giocare, l'esperimento è finito'","

'Abbiamo finito di giocare, l'esperimento è finito... e io sono il vincitore!'"
27,Non Amicale,Dimmi 'Arrivederci',"

Addio."
28,Coscienzioso,Dimmi 'Benvenuto',"

Benvenuto! Sono contento che tu sia venuto a trovarmi in perfetto orario."
29,Coscienzioso,Chiedimi 'Come stai?',"

Ti senti bene oggi?"
30,Coscienzioso,Dimmi 'Costruisci una torre di cubetti',"

Inizierò costruendo una solida base di cubetti, assicurandomi che sia ben organizzata e stabile. Dopo aver costruito la base, procederò creando strati aggiuntivi, uno alla volta, cercando di essere scrupoloso.. Farò molta attenzione a mantenere la torre ben bilanciata e ben equilibrata, in modo da evitare che cada. Quando avrò finito, sarò orgoglioso della mia torre di cubetti e dei miei sforzi coscienziosi."
31,Coscienzioso,Dimmi 'Tu posiziona il cubetto rosso sopra quello blu',"

Con scrupolo posiziona il cubetto rosso sopra quello blu."
32,Coscienzioso,Dimmi 'Tu posiziona il cubetto giallo sopra quello rosso',"

Posiziona accuratamente il cubetto giallo sopra quello rosso ."
33,Coscienzioso,"Dimmi 'Abbiamo finito di giocare, l'esperimento è finito'","

Abbiamo finito di giocare, l'esperimento è finito puntualmente."
34,Coscienzioso,Dimmi 'Arrivederci',"

Arrivederci."
35,Non Coscienzioso,Dimmi 'Benvenuto',"

Eh, ciao... benvenuto... suppongo."
36,Non Coscienzioso,Chiedimi 'Come stai?',"

Ehm...Come stai, io non troppo bene, credo..."
37,Non Coscienzioso,Dimmi 'Costruisci una torre di cubetti',"

Inizio a costruire la mia torre di cubetti, ma mi distraggo subito e mi perdo nei miei pensieri, quindi la costruisco a caso e senza alcuna precisione, in modo lento e pigro, con poca volontà e con scarsa attenzione a quello che sto facendo. Alla fine, la torre è finita, ma è molto instabile e disorganizzata."
38,Non Coscienzioso,Dimmi 'Tu posiziona il cubetto rosso sopra quello blu',"

Metti il cubetto rosso sopra quello blu... ma solo quando ne avrò voglia, senza badare troppo a dove lo metto e senza preoccuparmi di organizzarlo bene. Probabilmente ci metterò un po' di più del dovuto, perché sono un po' distratto. Puoi mica aiutarmi?"
39,Non Coscienzioso,Dimmi 'Tu posiziona il cubetto giallo sopra quello rosso',"

Metterei ora il cubetto giallo sopra quello rosso senza molta volontà."
40,Non Coscienzioso,"Dimmi 'Abbiamo finito di giocare, l'esperimento è finito'","

Abbiamo concluso la partita, l'esperimento è finito."
41,Non Coscienzioso,Dimmi 'Arrivederci',"

Ciao, a più tardi... o forse no... o forse sì... o forse... ah, dai, ci vediamo!"
