,personality,action,response
45,Conscientious,say goodbye,"Arrivederci e a presto. ^start('animations/Stand/Gestures/Hey_3')"
46,Unscrupulous,say welcome,"Eh, ciao, ^start('animations/Stand/Gestures/Hey_3') benvenuto... insomma, salve, ben arrivato... scusami il ritardo'"
47,Unscrupulous,talk,"Ehm, come ti senti? ^start('animations/Stand/Gestures/You_5')"
48,Unscrupulous,speak about rules,"Inizia a costruire una torre di cubetti, ^start('animations/Stand/Gestures/Bored_1') mi sa che mi devi aiutare, non riesco mai a organizzarla correttamente ^start('animations/Stand/Gestures/IDontKnow_1')"
49,Unscrupulous,ask to order tower,"Metti il cubetto viola sopra quello blu, no scusa quello rosso sopra quello blu ^start('animations/Stand/BodyTalk/Speaking/BodyTalk_12')"
50,Unscrupulous,ask to order tower,"Ora il giallo sopra il rosso, non preoccuparti se non sono ben allineati ^start('animations/Stand/Gestures/Give_6')"
51,Unscrupulous,ask to order tower,"Posiziona il cubetto verde sopra quello giallo, ^start('animations/Stand/Gestures/Give_5') se cadono succede"
52,Unscrupulous,ask to order tower,"Concludi con il giallo, no lo hai già messo, il viola ^start('animations/Stand/BodyTalk/Speaking/BodyTalk_13')"
53,Unscrupulous,say goodbye,"'Abbiamo finito di giocare direi ^start('animations/Stand/Gestures/Explain_4')"
54,Unscrupulous,say goodbye,"Ciao,^start('animations/Stand/Gestures/Hey_6')  a più tardi... forse."
